mzmed;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20
188,5;174290,9094;152975,9727;147032,2534;66280,96213;157266,3525;277582,1148;43192,73842;;117950,8333;153202,8991;216665,4409;166741,0793;268916,063;148772,4094;88595,88919;64037,03733;241291,6892;8496,485478;294748,7734;125830,5908
189,5;135533,378;1063,204266;87183,47702;187195,5567;76751,01646;144571,2147;90277,78903;48798,72472;;180327,9635;246259,7941;45999,11045;33244,77565;44165,74532;185805,2318;91195,17742;154533,78;44898,5093;98040,28131;116356,2763
190,5;127332,0356;221094,6388;112903,843;50802,72614;102042,1404;297230,0933;170535,9533;89913,72305;199194,7522;;42464,75399;280447,2893;152491,8495;44825,08374;294088,3307;248358,2923;162061,0426;158348,2381;264469,675;291306,2704
191,5;135443,2129;193620,1697;23562,50513;107331,0729;116273,3951;212706,4389;117175,0846;127439,2697;151188,4414;229805,8477;;295075,3704;163036,3265;216552,9688;26251,4664;102190,0009;42569,84815;67288,73715;266656,5632;155118,7492
192,5;227778,5907;252101,1558;245452,8296;138936,9199;279727,0102;39488,96919;133904,3037;82896,92973;135979,536;105932,4298;269285,1432;;152330,8879;15001,05202;177009,1821;76982,53204;256956,2839;187939,658;266073,1619;200278,2518
193,5;281965,2904;27845,95043;40836,36412;275785,2284;104146,7716;7754,237021;110336,3318;64989,07818;249240,6882;52695,68142;270815,404;187267,0013;;102630,4639;294541,7121;132797,0823;93040,43552;153880,2005;61240,66038;281984,9281
194,5;108390,6435;272223,1722;134991,2862;263867,0599;112546,2693;80463,59399;201141,9633;135174,1026;83625,357;143139,8673;78645,48056;166016,0297;282959,1643;228627,733;52607,84992;263857,6125;138203,0685;295438,198;2118,231895;34551,10194
195,5;289138,8489;88769,81081;60190,23178;142788,0841;164737,7815;194763,6044;1017,477511;176153,3707;184328,95;225199,5309;20788,87509;209882,2855;140796,371;196874,98;287388,6111;222981,8724;255174,9935;113039,4415;45622,88254;170499,8568
196,5;72221,36061;125927,0319;148042,723;133263,6066;155467,6005;16518,92675;270606,0205;189669,4139;564,6274128;260855,4978;191113,9287;207197,4267;155057,1661;235164,6546;7309,73142;213753,1088;120520,6117;257951,4847;169688,6721;247903,6935
197,5;107300,3997;222664,9136;23781,73995;150436,8136;145121,6001;192882,8578;176785,0268;67405,76267;200370,049;80140,04406;78142,86149;233368,4265;260954,0881;133232,0675;244180,8247;251751,1999;161793,7935;15769,03239;291539,9264;20614,43667
198,5;34348,74493;281458,3284;281570,9172;203782,9159;38791,68399;92865,39063;33254,2981;100852,8431;247125,4629;82861,23145;225958,5174;23300,75603;281821,5312;238025,0757;222167,1016;127225,0909;175099,5546;77464,92362;296222,3403;166302,5394
199,5;259148,8483;223372,5828;62442,78343;22850,092;273787,8596;140959,9645;253131,5491;90876,51577;206146,1562;32940,93145;177348,9289;5495,870761;;259141,4373;111682,9203;138397,744;187580,0381;119828,0598;53886,25845;73156,92642
200,5;256505,3029;128938,5147;128601,4237;32415,25107;27481,879;195627,9515;64414,19629;224075,2597;296117,3699;180142,1126;258142,1845;120740,8313;269871,7669;218154,3764;50732,87017;190251,9859;24313,89374;102687,7125;189030,7971;86362,97712
201,5;32261,37001;196065,5501;53568,32736;228281,8494;;108230,6618;236164,1721;66853,70125;54957,22523;164459,8582;18997,12211;126257,1565;17224,60635;27036,2874;104083,2027;288644,8671;16363,09354;81776,77094;48341,71208;131018,7757
202,5;111868,246;292492,1972;109038,3199;70628,54599;170300,0133;68967,52586;194134,9705;168316,5699;265691,5034;;3356,211298;29504,5241;60308,96059;143809,0445;134267,3496;;98316,98943;74536,16946;1827,272492;112344,0566
203,5;184850,619;167966,8175;;23801,74732;142164,961;248944,1548;288180,4498;127638,7625;99943,32533;220708,3688;264005,7505;4196,140727;124394,8216;268677,0928;65427,92635;214438,0798;3659,067044;238668,1808;224087,3872;196978,0571
204,5;260701,573;;26189,13273;79793,38598;283945,674;100404,7722;240328,5384;282615,907;11299,44342;242591,6798;26927,84852;263367,1829;80113,62509;293145,3017;230074,4515;283050,4577;280373,243;84380,49612;240239,9089;77950,14975
205,5;78247,93833;280137,6488;34787,6238;91281,92542;42657,84022;;;138960,4297;23391,35551;109060,9206;174243,8025;4155,60633;33315,15186;246495,7584;173868,5052;272250,342;109800,4469;84858,55974;254841,1255;176834,2307
206,5;73560,95228;32759,36221;252344,3274;110605,7971;235267,8711;136116,6598;195155,87;134288,4161;170389,8215;201000,5109;85284,30496;15212,97624;286141,6911;296155,6034;;179906,1368;52006,21676;117280,7563;274982,2903;260439,6752
207,5;272911,8813;256782,1746;294050,7719;36778,06984;196631,4264;229824,5384;260073,7318;247381,2381;67237,27846;263822,535;263321,4128;246821,1389;133097,1252;142178,7838;90605,80794;228968,176;241132,5196;47906,52983;296758,5057;113181,905
208,5;268425,9309;169781,0998;174171,4683;55717,86519;185916,828;247909,946;69055,2714;68025,34698;256677,3167;226946,5625;287748,3921;221229,7935;33899,4203;142263,3003;202746,2814;116075,8735;117558,2142;213364,6326;276510,1161;224181,6129
209,5;138572,0715;82911,49993;76795,57214;174197,2785;280997,204;290086,9879;179869,2405;37974,94668;198053,7273;19440,67022;236916,4571;180643,8236;103938,6807;54797,54747;195609,664;118759,0099;234124,3216;126056,1789;117875,8087;
210,5;183515,1297;;18657,93298;293912,8665;259380,5477;295365,5185;208584,6959;291367,7094;120753,5291;268061,1869;143249,7363;;115260,3532;;107888,5544;202680,276;35372,52768;184322,4072;1753,36383;283751,6627
211,5;230789,4149;7618,272995;;165610,6321;95595,56715;213610,6957;264090,3578;247252,4866;73710,54252;184880,618;251794,444;83156,42697;82049,03317;58164,33966;151228,1907;172867,7373;296634,0914;88593,02921;;151504,8422
212,5;86695,29658;61645,20584;242031,7876;;123472,7356;188598,295;26776,92095;159760,147;61954,17425;161718,8276;187287,0478;206279,0012;190735,0059;16331,40861;269813,3658;143286,2659;294715,9885;;81968,74966;5762,20765
213,5;27879,08777;66768,0641;67035,39717;19619,79729;172497,781;;294528,4422;58215,47763;21335,56105;244454,2287;280253,3695;18728,41746;53429,99283;;290658,3775;110440,8342;182585,6566;;242160,6057;73649,08935
214,5;232813,1797;146057,2708;181678,1711;283539,6276;167301,5506;268124,7693;90222,09737;92061,7668;247794,9368;133534,4951;194335,4308;38764,03358;184023,8433;208085,3472;129073,0053;193862,4369;31060,7813;71840,87436;147082,4332;197794,1474
215,5;297304,2997;82968,84515;137837,5344;79035,64265;35164,19403;219437,5548;259526,8228;100078,9135;84137,58109;63697,84441;271970,8991;296366,248;85585,76991;287667,0276;193873,4325;19345,50056;63506,58075;266016,4857;266304,6903;13783,81245
216,5;81950,15335;279448,7758;242064,873;213544,0924;231946,0891;179815,7386;210595,0075;252600,1369;289865,602;263906,8563;269074,6535;152549,0152;122291,4292;22125,20503;44285,68961;220237,2491;106652,7652;125504,8615;100131,4521;96497,76544
217,5;248330,5924;200687,1469;56039,25476;229866,9956;21482,22592;224145,2682;153610,2668;143644,1089;288864,7691;205036,5735;155499,6121;144575,0997;275312,9849;100685,2928;265832,95;149094,9186;2589,446393;249447,0584;14807,95251;69827,80099
218,5;265970,491;159652,2442;236873,8325;214643,6694;257150,017;147775,8079;35140,8994;28595,12015;232545,8063;119469,2976;117425,1885;8412,519502;161884,4727;37146,80862;180398,359;276388,5309;284108,013;173783,0643;223354,5464;71807,66351
